State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CA, San Francisco County ,4.11372,4.61027,4.01179,3.78511,3.6778,4.84918,5.72432,5.13694,5.18232,4.36451,4.96422,5.27173,4.34355,3.57449,5.17389,4.64035
CA, San Joaquin County ,4.4023,2.70633,5.58255,3.66956,3.11091,2.73979,4.97879,3.4427,2.23317,4.57405,3.49152,2.30235,3.56831,3.41265,4.76713,3.17901
CA, San Luis Obispo County ,4.43837,4.77209,5.13665,2.35595,5.45082,5.02678,6.52596,3.80561,5.25608,4.47519,8.52139,7.37528,7.65064,4.34482,5.02013,3.55923
CA, San Mateo County ,3.67325,5.38533,2.86686,3.60721,6.52022,3.33296,3.76716,3.17072,2.98368,3.92367,2.77803,5.35039,4.45957,3.07096,3.56756,6.02732
CA, Santa Barbara County ,3.50009,3.47253,3.20847,5.16211,2.70082,3.92081,4.1658,3.89064,4.08792,4.75787,3.29881,4.22537,4.17984,3.67141,3.17782,5.40766
CA, Santa Clara County ,3.20485,3.49509,2.75557,2.7651,3.48732,3.93956,2.83829,3.44621,3.56125,3.28586,3.02244,3.47516,3.58893,3.37447,3.12198,3.24589
CA, Santa Cruz County ,3.12702,2.73389,1.9644,5.13791,2.77386,4.77371,3.97431,3.94783,4.28816,5.38443,3.41854,4.90759,4.50391,5.57729,5.53565,6.21284
CA, Shasta County ,6.11191,7.21119,7.05061,6.35097,8.57795,5.12485,6.81176,8.49627,7.89858,9.5894,7.89533,3.37149,10.08799,7.81852,5.00787,6.13494
CA, Sierra County ,55.95971,0,28.71913,0,0,0,0,0,0,0,0,32.19575,0,0,0,0
CA, Siskiyou County ,0,13.66494,9.09815,13.54799,11.26278,6.72028,8.99139,13.49376,4.46628,8.93096,8.90155,4.47698,0,6.87569,16.10084,9.199
CA, Solano County ,3.77858,2.96876,2.93955,3.67279,3.66478,2.2049,2.93828,5.144,4.64579,5.36206,4.34747,2.88125,4.76325,3.77383,5.58658,5.52587
CA, Sonoma County ,4.77824,4.94312,4.94307,4.50171,6.21239,5.79476,4.5143,4.06542,6.1299,4.37975,5.98164,7.38248,5.70836,5.45833,6.41067,5.58354
CA, Stanislaus County ,3.78222,4.95945,3.97932,3.89858,4.05998,5.59978,3.36866,3.54447,3.53612,2.54137,3.29878,5.0186,4.21973,4.9548,3.9641,3.73563
CA, Sutter County ,2.52551,8.73493,4.86843,4.72417,6.9377,2.25317,1.09755,7.5302,4.26189,2.11941,4.21914,6.34156,5.29874,3.16452,5.25012,5.20953
CA, Tehama County ,10.68186,5.29241,6.97107,6.83434,3.35734,3.30022,4.87116,9.65453,3.19244,7.95026,6.29218,11.06649,4.75187,7.95735,3.18695,7.92732
CA, Trinity County ,7.70416,0,0,0,15.19872,7.44048,22.00381,0,21.96837,7.26639,21.79441,7.29076,22.22222,14.89203,22.86411,15.30456
CA, Tulare County ,2.17022,5.0915,4.74223,5.14479,4.52005,2.45116,2.4101,3.31644,2.09652,2.97492,3.83675,3.79987,3.32815,2.20578,3.72713,2.83695
CA, Tuolumne County ,7.31823,10.85914,8.95255,1.7695,5.30017,7.04374,14.11433,12.42479,5.3267,14.32536,10.87311,7.30607,14.77814,3.70782,18.57804,13.05605
CA, Ventura County ,3.9656,4.04336,2.69407,3.67988,3.14864,3.27375,2.75626,3.37489,3.47242,4.53915,3.87728,4.33366,3.83454,4.16916,4.38348,4.36465
CA, Yolo County ,2.35523,3.42198,3.32729,1.63976,3.23909,3.22115,3.16431,3.60195,5.57939,4.50471,5.46932,2.4732,3.41582,2.90297,3.83257,4.24124
CA, Yuba County ,1.6564,0,4.83092,6.37623,7.84412,6.03455,5.77434,2.82642,4.17984,4.18953,2.76449,4.13519,2.74345,5.46202,2.71091,9.42139
CT, Fairfield County ,4.74918,6.07381,5.93572,7.2517,7.68826,4.79027,5.0209,6.12815,6.30654,4.28373,4.56646,3.44497,5.02711,4.35882,4.76854,5.71626
